"קטגוריה ראשית","קטגוריה משנית","מוצר","עד 130$","מ131$ עד 500$","מ501$ עד 1000$","מעל 1000$"
"אופנה","הלבשה והנעלה","בגדי ים ","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","בגדי ספורט","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","בדים מסוגים שונים","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","ביגוד והנעלה לתינוקות","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","הלבשה כללי","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","הלבשה תחתונה","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","חולצות","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","כובעים","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","מכנסיים","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","מעילים","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","נעלי בטיחות","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","נעלי ספורט","פטור","18.00%","18.00%","18.00%"
"אופנה","הלבשה והנעלה","נעליים","פטור","18.00%","18.00%","18.00%"
"אופנה","מוצרי היגיינה וטואלטיקה","מפיגי ריחות ומונעי הזעה (דאודרנט)","פטור","18.00%","18.00%","18.00%"
"אופנה","מוצרי היגיינה וטואלטיקה","סבון","פטור","18.00%","18.00%","18.00%"
"אופנה","מוצרי היגיינה וטואלטיקה","קצף גילוח","פטור","18.00%","18.00%","18.00%"
"אופנה","מוצרי היגיינה וטואלטיקה","קרם לעור","פטור","18.00%","18.00%","18.00%"
"אופנה","מוצרי היגיינה וטואלטיקה","שמפו","פטור","18.00%","18.00%","18.00%"
"אופנה","תיקים ואביזרי אופנה","אביזרים לשיער","פטור","18.00%","18.00%","18.00%"
"אופנה","תיקים ואביזרי אופנה","ארנקים","פטור","18.00%","18.00%","18.00%"
"אופנה","תיקים ואביזרי אופנה","חגורות","פטור","18.00%","18.00%","18.00%"
"אופנה","תיקים ואביזרי אופנה","ילקוטים לתלמיד","פטור","18.00%","18.00%","18.00%"
"אופנה","תיקים ואביזרי אופנה","מטפחות ראש","פטור","18.00%","18.00%","18.00%"
"אופנה","תיקים ואביזרי אופנה","תיקים","","","","18.00%"
"אופנה","תיקים ואביזרי אופנה","תיקים לילדים ותינוקות","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשיטים ושעונים","יהלומים","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשיטים ושעונים","קופסאות/תיבות לשעוני יד","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשיטים ושעונים","שעון יד","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשיטים ושעונים","שעון קיר","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשיטים ושעונים","תכשיטי זהב","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשיטים ושעונים","תכשיטים","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","איפור","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","בושם","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","לק לציפורניים","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","מוצרים להסרת שיער","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","מוצרים לעיצוב שיער","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","פיאות נוכריות","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","צבעי שיער","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","שמנים לגוף","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","תכשירי איפור לשפתיים","פטור","18.00%","18.00%","18.00%"
"אופנה","תכשירי טיפוח וקוסמטיקה","תמרוקים","פטור","18.00%","18.00%","18.00%"
"בעלי חיים","חיות מחמד","חיות מחמד","פטור","18.00%","18.00%","18.00%"
"בעלי חיים","חיות מחמד","קרניים קרני אייל","","","","18.00%"
"בעלי חיים","מזון וחטיפים לחיות","מזון לדגי נוי או ציפורים","פטור","18.00%","18.00%","שיעור 22.72% "
"בעלי חיים","מזון וחטיפים לחיות","מזון לכלבים או חתולים","פטור","18.00%","18.00%","שיעור 21.54% "
